Name Mass Radius Orbit Smass Distance Habitable Method Year
"Kepler-10 b" 3.33 1.47 0.02 0.91 173 0 "primary transit" 2011
"Kepler-10 c" 19.19 2.32 0.24 0.91 173 0 "primary transit" 2011
"Kepler-14 b" 2670.7 12.72 0.08 1.51 980 0 "primary transit" 2011
"Kepler-17 b" 778.95 14.69 0.03 1.16 800 0 "primary transit" 2011
"Kepler-20 b" 9.7 1.87 0.05 0.91 290 0 "primary transit" 2011
"Kepler-20 c" 12.76 3.04 0.09 0.91 290 0 "primary transit" 2011
"Kepler-20 d" 3.96 2.74 0.28 0.91 290 0 "primary transit" 2011
"Kepler-20 e" 0.54 0.86 0.06 0.91 290 0 "primary transit" 2011
"Kepler-20 f" 0.87 1 0.14 0.91 290 0 "primary transit" 2011
"Kepler-20 g" 19.97 4.65 0.2 0.91 290 0 "other" 2016
"Kepler-21 b" 4.79 1.64 0.04 1.34 108 0 "primary transit" 2011
"Kepler-22 b" 20.36 2.35 0.85 0.97 190 1 "primary transit" 2011
"Kepler-34(AB)  b" 69.92 8.55 1.07 2.07 1499 0 "primary transit" 2012
"Kepler-35(AB) b" 40.31 8.15 0.6 1.7 1645 0 "primary transit" 2012
"Kepler-37 b" 0.02 0.32 0.1 0.8 66 0 "primary transit" 2013
"Kepler-37 c" 0.34 0.75 0.14 0.8 66 0 "primary transit" 2013
"Kepler-37 d" 9.1 1.94 0.21 0.8 66 0 "primary transit" 2013
"Kepler-39 b" 5722.92 13.66 0.15 1.1 1200 0 "primary transit" 2011
"Kepler-40 b" 699.47 13.1 0.08 1.48 2700 0 "primary transit" 2010
"Kepler-41  b" 155.79 9.42 0.03 0.94 730 0 "primary transit" 2011
"Kepler-42 b" 0.39 0.78 0.01 0.13 38.7 0 "primary transit" 2012
"Kepler-42 c" 0.31 0.73 0.01 0.13 38.7 0 "primary transit" 2012
"Kepler-42 d" 0.14 0.57 0.02 0.13 38.7 0 "primary transit" 2012
"Kepler-43 b" 1026.95 13.44 0.04 1.32 1950 0 "primary transit" 2011
"Kepler-44 b" 324.3 13.89 0.05 0.84 2250 0 "primary transit" 2011
"Kepler-45 b" 160.56 10.75 0.03 0.56 333 0 "primary transit" 2011
"Kepler-46 b" 178.24 9.09 0.2 0.9 857 0 "primary transit" 2012
"Kepler-46 c" 115.09 8.11 0.28 0.9 857 0 "ttv" 2012
"Kepler-61 b" 13.85 2.15 0.26 0.64 326 1 "primary transit" 2012
"Kepler-62 b" 2.17 1.31 0.06 0.69 368 0 "primary transit" 2013
"Kepler-62 c" 0.12 0.54 0.09 0.69 368 0 "primary transit" 2013
"Kepler-62 d" 9.29 1.95 0.12 0.69 368 0 "primary transit" 2013
"Kepler-62 e" 4.54 1.61 0.43 0.69 368 1 "primary transit" 2013
"Kepler-62 f" 2.81 1.41 0.72 0.69 368 1 "primary transit" 2013
"Kepler-63 b" 45.39 6.1 0.08 0.98 200 0 "primary transit" 2013
"Kepler-65 b" 2.78 1.41 0.03 1.2 312.43 0 "primary transit" 2013
"Kepler-65 c" 26.71 2.57 0.07 1.2 312.43 0 "primary transit" 2013
"Kepler-65 d" 3.53 1.51 0.08 1.2 312.43 0 "primary transit" 2013
"Kepler-66 b" 4.24 2.8 0.14 1.04 1107 0 "primary transit" 2013
"Kepler-67 b" 4.8 2.91 0.12 0.86 1107 0 "primary transit" 2013
"Kepler-68 b" 5.98 2.31 0.06 1.08 135 0 "primary transit" 2013
"Kepler-68 c" 0.67 0.93 0.08 1.08 135 0 "primary transit" 2013
"Kepler-68 d" 267.07 9.94 1.38 1.08 135 0 "radial velocity" 2013
"Kepler-70  b" 0.45 0.76 0.01 0.5 1180 0 "imaging" 2011
"Kepler-70 c" 0.67 0.87 0.01 0.5 1180 0 "imaging" 2011
"Kepler-74 b" 216.2 14.78 0.08 1.02 1330 0 "primary transit" 2012
"Kepler-75 b" 3147.61 11.54 0.07 0.88 1140 0 "primary transit" 2013
"Kepler-77 b" 136.71 10.75 0.05 0.95 570 0 "primary transit" 2013
"Kepler-88 b" 8.7 3.78 0.1 1.02 385 0 "primary transit" 2013
"Kepler-88 c" 199.31 9.34 0.15 1.02 385 0 "radial velocity" 2013
"Kepler-91 b" 232.1 15.5 0.07 1.31 1030 0 "primary transit" 2013
"Kepler-92 b" 60.09 3.65 0.12 1.21 448.57 0 "primary transit" 2013
"Kepler-92 c" 5.69 2.45 0.19 1.21 448.57 0 "primary transit" 2013
"Kepler-92 d" 11.73 2.07 0.28 1.21 448.57 0 "primary transit" 2015
"Kepler-100 b" 7.34 1.3 0.07 1.11 310.34 0 "primary transit" 2014
"Kepler-100 c" 0.86 2.22 0.11 1.11 310.34 0 "primary transit" 2014
"Kepler-100 d" 2.99 1.51 0.2 1.11 310.34 0 "primary transit" 2014
"Kepler-103 b" 9.86 3.47 0.13 1.1 473.56 0 "primary transit" 2014
"Kepler-103 c" 36.25 5.31 0.64 1.1 473.56 0 "primary transit" 2014
"Kepler-109 b" 1.3 2.34 0.07 1.07 464.73 0 "primary transit" 2014
"Kepler-109 c" 2.22 2.63 0.15 1.07 464.73 0 "primary transit" 2014
"Kepler-145 b" 37.1 2.55 0.16 1.42 584.1 0 "primary transit" 2013
"Kepler-145 c" 79.42 3.92 0.27 1.42 584.1 0 "primary transit" 2013
"Kepler-150 b" 1.86 1.25 0.04 0.97 973 0 "primary transit" 2014
"Kepler-150 c" 9.94 3.68 0.07 0.95 973 0 "primary transit" 2014
"Kepler-150 d" 4.18 2.79 0.1 0.95 973 0 "primary transit" 2014
"Kepler-150 e" 5.92 3.11 0.19 0.95 973 0 "primary transit" 2014
"Kepler-150 f" 9 3.64 1.24 0.63 973 0 "primary transit" 2017
"Kepler-174 b" 9.51 1.96 0.1 0.68 360 0 "primary transit" 2014
"Kepler-174 c" 3.4 1.49 0.21 0.68 360 0 "primary transit" 2014
"Kepler-174 d" 14.78 2.18 0.68 0.68 360 1 "primary transit" 2014
"Kepler-186 b" 1.35 1.14 0.04 0.48 172 0 "primary transit" 2014
"Kepler-186 c" 2.37 1.34 0.06 0.48 172 0 "primary transit" 2014
"Kepler-186 d" 3.99 1.56 0.09 0.48 172 0 "primary transit" 2014
"Kepler-186 e" 2.3 1.33 0.13 0.48 172 0 "primary transit" 2014
"Kepler-186 f" 1.47 1.17 0.43 0.54 172 1 "transit" 2015
"Kepler-283 b" 13.26 2.13 0.08 0.61 534 0 "primary transit" 2014
"Kepler-283 c" 7.04 1.81 0.34 0.62 534 1 "primary transit" 2014
"Kepler-289 b" 7.31 2.15 0.21 1.08 700 0 "primary transit" 2014
"Kepler-289 c" 4.13 2.68 0.33 1.08 700 0 "primary transit" 2014
"Kepler-289 d" 131.95 11.58 0.51 1.08 700 0 "primary transit" 2014
"Kepler-296 b" 0.71 0.94 0.04 0.6 226 0 "primary transit" 2014
"Kepler-296 c" 13.85 2.15 0.05 0.62 226 0 "primary transit" 2014
"Kepler-296 d" 17.55 2.27 0.12 0.62 226 0 "primary transit" 2014
"Kepler-296 e" 3.32 1.48 0.15 0.45 226 1 "transit" 2015
"Kepler-296 f" 6.14 1.75 0.28 0.45 226 1 "transit" 2015
"Kepler-298 b" 9.51 1.96 0.08 0.65 474 0 "primary transit" 2014
"Kepler-298 c" 8.88 1.93 0.14 0.65 474 0 "primary transit" 2014
"Kepler-298 d" 26.81 2.5 0.3 0.65 474 1 "primary transit" 2014
"Kepler-409 b" 22 1.19 0.32 0.92 66.8 0 "primary transit" 2013
"Kepler-410 A b" 4.41 2.84 0.12 1.3 132 0 "primary transit" 2013
"Kepler-412 b" 298.55 14.84 0.03 1.17 1056 0 "primary transit" 2014
"Kepler-420 A b" 461.01 10.53 0.24 0.99 900 0 "primary transit" 2014
"Kepler-421 b" 14.29 4.16 1.22 0.79 320 0 "primary transit" 2014
"Kepler-432 b" 1720.06 16.24 0.26 1.35 874 0 "primary transit" 2014
"Kepler-433 b" 896.59 16.24 0.06 2.82 1870 0 "primary transit" 2012
"Kepler-434 b" 909.31 12.66 0.11 1.2 1240 0 "primary transit" 2015
"Kepler-435 b" 267.07 22.29 0.09 1.54 2070 0 "primary transit" 2012
"Kepler-436 b" 3.91 2.73 0.33 0.73 618 0 "transit" 2015
"Kepler-436 c" 19.52 2.33 0.12 0.73 618 0 "transit" 2016
"Kepler-437 b" 13.57 2.14 0.29 0.71 417 0 "transit" 2015
"Kepler-438 b" 1.27 1.12 0.17 0.54 145 1 "transit" 2015
"Kepler-439 b" 16.46 2.24 0.56 0.88 693 0 "transit" 2015
"Kepler-440 b" 7.75 1.86 0.23 0.57 261 1 "transit" 2015
"Kepler-441 b" 4.82 1.64 0.64 0.57 284 0 "transit" 2015
"Kepler-442 b" 2.34 1.34 0.41 0.61 342 1 "transit" 2015
"Kepler-443 b" 19.53 2.33 0.49 0.74 779 1 "transit" 2015
"Kepler-445 b" 6.36 1.58 0.02 0.18 90 0 "primary transit" 2015
"Kepler-445 c" 8.58 2.51 0.03 0.18 90 0 "primary transit" 2015
"Kepler-445 d" 3.5 1.25 0.04 0.18 90 0 "primary transit" 2015
"Kepler-446 b" 4.45 1.5 0.02 0.22 120 0 "primary transit" 2015
"Kepler-446 c" 2.86 1.1 0.02 0.22 120 0 "primary transit" 2015
"Kepler-446 d" 3.18 1.34 0.04 0.22 120 0 "primary transit" 2015
"Kepler-448 b" 3179.4 16.02 0.15 1.45 426 0 "primary transit" 2015
"Kepler-452 b" 4.72 1.63 1.05 1.04 430 1 "transit" 2015
"Kepler-461 b" 3.24 2.58 0.08 0.98 468 0 "transit" 2016
"Kepler-462 b" 10.59 3.76 0.44 1.59 733 0 "transit" 2016
"Kepler-463 b" 5.53 3.05 0.08 0.87 336 0 "transit" 2016
"Kepler-464 b" 7.04 3.29 0.08 1.21 653 0 "transit" 2016
"Kepler-465 b" 4.98 2.95 0.1 1.23 587 0 "transit" 2016
"Kepler-466 b" 4.45 2.84 0.27 1.04 436 0 "transit" 2016
"Kepler-466 c" 1.86 1.25 0.05 1.04 436 0 "transit" 2016
"Kepler-467 b" 16.81 2.25 0.17 1.05 458 0 "transit" 2016
"Kepler-472 b" 6.54 3.21 0.05 0.85 302 0 "transit" 2016
"Kepler-473 b" 13.49 4.08 0.12 1.06 641 0 "transit" 2016
"Kepler-474 b" 5.59 3.06 0.06 0.99 568 0 "transit" 2016
"Kepler-475 b" 26.25 2.49 0.04 0.86 280 0 "transit" 2016
"Kepler-476 b" 5.72 3.08 0.11 1.03 687 0 "transit" 2016
"Kepler-477 b" 11.88 2.07 0.09 0.87 367 0 "transit" 2016
"Kepler-478 b" 3.82 2.71 0.1 0.85 420 0 "transit" 2016
"Kepler-479 b" 12.97 2.12 0.1 0.86 371 0 "transit" 2016
"Kepler-480 b" 4.13 2.78 0.06 1.25 806 0 "transit" 2016
"Kepler-481 b" 26.81 2.5 0.09 1.01 713 0 "transit" 2016
"Kepler-482 b" 20.8 2.36 0.26 0.75 290 0 "transit" 2016
"Kepler-483 b" 6.46 3.2 0.21 1.28 953 0 "transit" 2016
"Kepler-484 b" 17.55 2.27 0.09 0.96 377 0 "transit" 2016
"Kepler-486 b" 502.57 10.99 0.18 0.79 428 0 "transit" 2016
"Kepler-487 b" 755.66 11.41 0.12 0.91 835 0 "transit" 2016
"Kepler-487 c" 3.67 2.68 0.22 0.91 835 0 "transit" 2016
"Kepler-489 b" 96.56 7.72 0.12 0.82 379 0 "transit" 2016
"Kepler-490 b" 1160.45 11.64 0.04 1.08 1249 0 "transit" 2016
"Kepler-491 b" 164.34 8.92 0.05 1.04 657 0 "transit" 2016
"Kepler-492 b" 224.37 9.59 0.1 0.94 642 0 "transit" 2016
"Kepler-494 b" 74.28 7.13 0.08 1.1 862 0 "transit" 2016
"Kepler-495 b" 28.42 5.23 0.04 0.86 630 0 "transit" 2016
"Kepler-496 b" 19.11 2.32 0.08 0.86 655 0 "transit" 2016
"Kepler-497 b" 43.88 6.04 0.05 1.09 1070 0 "transit" 2016
"Kepler-498 b" 5.4 3.02 0.09 0.98 746 0 "transit" 2016
"Kepler-499 b" 14.46 2.17 0.06 0.87 523 0 "transit" 2016
"Kepler-500 b" 3.24 2.58 0.08 1.02 747 0 "transit" 2016
"Kepler-501 b" 15.83 4.3 0.06 1.03 1044 0 "transit" 2016
"Kepler-502 b" 21.59 4.77 0.05 1.15 1433 0 "transit" 2016
"Kepler-503 b" 49.09 6.26 0.07 1.01 888 0 "transit" 2016
"Kepler-504 b" 4.31 1.59 0.06 0.33 75 0 "transit" 2016
"Kepler-505 b" 3.33 2.6 0.15 0.55 222 0 "transit" 2016
"Kepler-506 b" 3.92 2.73 0.08 1.19 231 0 "transit" 2016
"Kepler-507 b" 2.1 1.3 0.05 1.16 410 0 "transit" 2016
"Kepler-508 b" 4.77 1.64 0.18 1.16 325 0 "transit" 2016
"Kepler-509 b" 26.25 2.49 0.24 1.1 339 0 "transit" 2016
"Kepler-510 b" 25.16 2.46 0.14 0.91 378 0 "transit" 2016
"Kepler-511 b" 51.3 6.35 0.87 1 448 0 "transit" 2016
"Kepler-512 b" 3.72 2.69 0.22 1.17 531 0 "transit" 2016
"Kepler-513 b" 15.1 2.2 0.19 1.02 467 0 "transit" 2016
"Kepler-514 b" 5.68 1.71 0.07 1.28 489 0 "transit" 2016
"Kepler-515 b" 3.14 1.46 0.14 0.9 255 0 "transit" 2016
"Kepler-516 b" 37.51 5.73 0.2 1.62 777 0 "transit" 2016
"Kepler-517 b" 3.62 2.67 0.3 0.95 284 0 "transit" 2016
"Kepler-518 b" 12.69 2.11 0.08 0.96 324 0 "transit" 2016
"Kepler-519 b" 12.42 2.09 0.16 0.89 234 0 "transit" 2016
"Kepler-520 b" 5.02 1.66 0.15 1.1 492 0 "transit" 2016
"Kepler-520 c" 1.07 1.06 0.06 1.1 492 0 "transit" 2016
"Kepler-521 b" 6.33 3.18 0.17 1.34 737 0 "transit" 2016
"Kepler-522 b" 66.64 6.9 0.26 1.54 749 0 "transit" 2016
"Kepler-523 b" 9.51 1.96 0.06 0.93 270 0 "transit" 2016
"Kepler-524 b" 8.48 1.9 0.08 1.09 730 0 "transit" 2016
"Kepler-524 c" 0.77 0.96 0.03 1.09 730 0 "transit" 2016
"Kepler-525 b" 3.47 2.63 0.14 0.95 566 0 "transit" 2016
"Kepler-526 b" 10.17 1.99 0.06 1.15 504 0 "transit" 2016
"Kepler-527 b" 4.4 2.83 0.12 1.28 901 0 "transit" 2016
"Kepler-528 b" 12.15 2.08 0.14 1.01 711 0 "transit" 2016
"Kepler-529 b" 7.73 1.86 0.03 1.07 787 0 "transit" 2016
"Kepler-529 c" 10.17 1.99 0.11 1.07 787 0 "transit" 2016
"Kepler-530 b" 5.34 3.01 0.22 0.97 464 0 "transit" 2016
"Kepler-531 b" 4.13 2.78 0.17 0.78 254 0 "transit" 2016
"Kepler-532 b" 3.19 2.56 0.1 0.87 325 0 "transit" 2016
"Kepler-533 b" 7.65 3.38 0.17 0.78 305 0 "transit" 2016
"Kepler-534 b" 16.46 2.24 0.13 1.05 473 0 "transit" 2016
"Kepler-535 b" 20.8 2.36 0.06 1.18 678 0 "transit" 2016
"Kepler-536 b" 5.85 3.1 0.03 0.92 446 0 "transit" 2016
"Kepler-537 b" 2.81 1.41 0.04 1.07 465 0 "transit" 2016
"Kepler-538 b" 17.18 2.26 0.36 0.96 165 0 "transit" 2016
"Kepler-539 b" 0.97 8.37 0.46 1.05 313 0 "transit" 2016
"Kepler-539 c" 2.4 1.35 1.72 1.05 313 0 "transit" 2016
"Kepler-540 b" 3.82 2.71 0.61 1.02 350 0 "transit" 2016
"Kepler-541 b" 7.49 3.36 0.06 1.41 1020 0 "transit" 2016
"Kepler-542 b" 4.09 1.57 0.11 0.93 439 0 "transit" 2016
"Kepler-543 b" 26.81 2.5 0.1 0.7 212 0 "transit" 2016
"Kepler-544 b" 12.97 2.12 0.16 1.16 797 0 "transit" 2016
"Kepler-545 b" 3.72 2.69 0.11 1.04 831 0 "transit" 2016
"Kepler-546 b" 69.47 6.99 0.05 1.11 896 0 "transit" 2016
"Kepler-547 b" 12.72 4 0.06 0.78 361 0 "transit" 2016
"Kepler-549 b" 3.19 2.56 0.23 0.88 648 0 "transit" 2016
"Kepler-549 c" 4.86 2.92 0.45 0.88 648 0 "transit" 2016
"Kepler-550 b" 17.1 4.41 0.08 0.87 563 0 "transit" 2016
"Kepler-551 b" 3.92 2.73 0.09 0.65 312 0 "transit" 2016
"Kepler-552 b" 12.19 3.94 0.06 1.03 834 0 "transit" 2016
"Kepler-553 b" 19.68 4.63 0.05 0.92 725 0 "transit" 2016
"Kepler-553 c" 594.75 11.19 0.91 0.92 725 0 "transit" 2016
"Kepler-554 b" 15.71 4.29 0.03 0.93 642 0 "transit" 2016
"Kepler-555 b" 4.34 2.82 0.13 1.03 772 0 "transit" 2016
"Kepler-556 b" 16.46 2.24 0.1 1 729 0 "transit" 2016
"Kepler-557 b" 3.62 2.67 0.05 1.11 1126 0 "transit" 2016
"Kepler-558 b" 20.8 2.36 0.17 0.85 652 0 "transit" 2016
"Kepler-559 b" 9.31 3.61 0.13 0.96 793 0 "transit" 2016
"Kepler-560 b" 5.68 1.71 0.1 0.34 88 0 "transit" 2016
"Kepler-561 b" 68.4 6.96 0.29 0.96 667 0 "transit" 2016
"Kepler-561 c" 3.67 2.68 0.06 0.96 667 0 "transit" 2016
"Kepler-562 b" 28.06 5.21 0.13 0.93 822 0 "transit" 2016
"Kepler-563 b" 5.79 3.09 0.14 0.8 557 0 "transit" 2016
"Kepler-564 b" 19.68 4.63 0.05 0.95 830 0 "transit" 2016
"Kepler-565 b" 9.57 3.64 0.05 0.98 1041 0 "transit" 2016
"Kepler-566 b" 13.85 2.15 0.13 0.83 628 0 "transit" 2016
"Kepler-567 b" 16.81 2.25 0.12 0.84 568 0 "transit" 2016
"Kepler-568 b" 17.18 2.26 0.08 0.55 126 0 "transit" 2016
"Kepler-569 b" 6.19 3.16 0.2 0.95 645 0 "transit" 2016
"Kepler-570 b" 24.64 2.45 0.05 0.93 642 0 "transit" 2016
"Kepler-571 b" 3.52 2.64 0.05 0.93 756 0 "transit" 2016
"Kepler-572 b" 3.24 2.58 0.12 0.83 532 0 "transit" 2016
"Kepler-573 b" 4.18 2.79 0.15 0.99 758 0 "transit" 2016
"Kepler-574 b" 21.7 2.39 0.07 0.95 747 0 "transit" 2016
"Kepler-575 b" 21.7 2.39 0.09 0.97 852 0 "transit" 2016
"Kepler-576 b" 6.9 3.27 0.19 0.99 698 0 "transit" 2016
"Kepler-577 b" 3.1 2.54 0.16 0.78 549 0 "transit" 2016
"Kepler-578 b" 10.17 1.99 0.03 0.87 568 0 "transit" 2016
"Kepler-579 b" 10.17 1.99 0.09 0.99 663 0 "transit" 2016
"Kepler-580 b" 3.19 2.56 0.07 0.67 333 0 "transit" 2016
"Kepler-581 b" 3.47 2.63 0.23 1 833 0 "transit" 2016
"Kepler-582 b" 9.85 3.67 0.13 0.93 751 0 "transit" 2016
"Kepler-583 b" 17.55 2.27 0.07 0.94 805 0 "transit" 2016
"Kepler-584 b" 14.86 4.21 0.22 1.17 1445 0 "transit" 2016
"Kepler-585 b" 4.34 2.82 0.04 0.96 604 0 "transit" 2016
"Kepler-586 b" 4.18 2.79 0.03 0.94 707 0 "transit" 2016
"Kepler-587 b" 16.11 2.23 0.09 0.92 852 0 "transit" 2016
"Kepler-588 b" 3.47 2.63 0.05 1.01 972 0 "transit" 2016
"Kepler-589 b" 17.55 2.27 0.12 0.88 643 0 "transit" 2016
"Kepler-590 b" 12.94 4.02 0.07 1.1 986 0 "transit" 2016
"Kepler-591 b" 7.65 3.38 0.36 0.97 793 0 "transit" 2016
"Kepler-592 b" 21.7 2.39 0.04 1.04 1034 0 "transit" 2016
"Kepler-593 b" 4.57 2.87 0.15 1.08 1016 0 "transit" 2016
"Kepler-594 b" 14.46 2.17 0.11 0.91 742 0 "transit" 2016
"Kepler-595 b" 10.98 3.81 0.16 0.87 639 0 "transit" 2016
"Kepler-596 b" 8.21 3.46 0.16 1.21 1083 0 "transit" 2016
"Kepler-597 b" 20.8 2.36 0.11 0.97 660 0 "transit" 2016
"Kepler-598 b" 3.49 1.5 0.04 0.87 686 0 "transit" 2016
"Kepler-599 b" 4.4 2.83 0.12 0.83 627 0 "transit" 2016
"Kepler-600 b" 4.74 2.9 0.15 0.84 624 0 "transit" 2016
"Kepler-601 b" 8.48 1.9 0.06 0.85 429 0 "transit" 2016
"Kepler-602 b" 12.15 2.08 0.12 1.08 971 0 "transit" 2016
"Kepler-603 b" 3.52 2.64 0.15 1.01 967 0 "transit" 2016
"Kepler-603 c" 55.06 6.5 0.5 1.01 967 0 "transit" 2016
"Kepler-603 d" 2.23 1.32 0.07 1.01 967 0 "transit" 2016
"Kepler-604 b" 3.28 2.59 0.17 1.02 981 0 "transit" 2016
"Kepler-605 b" 2.97 1.43 0.04 0.91 570 0 "transit" 2016
"Kepler-605 c" 0.53 0.86 0.03 0.91 570 0 "transit" 2016
"Kepler-606 b" 7.12 3.3 0.17 1.13 1208 0 "transit" 2016
"Kepler-607 b" 0.56 0.87 0.01 0.84 500 0 "transit" 2016
"Kepler-608 b" 9.57 3.64 0.07 1 926 0 "transit" 2016
"Kepler-609 b" 7.42 3.35 0.07 1.09 1143 0 "transit" 2016
"Kepler-610 b" 14.63 4.19 0.07 1.1 1113 0 "transit" 2016
"Kepler-610 c" 7.04 3.29 0.57 1.1 1113 0 "transit" 2016
"Kepler-611 b" 4.89 1.65 0.04 1.01 906 0 "transit" 2016
"Kepler-612 b" 4.4 2.83 0.05 0.98 932 0 "transit" 2016
"Kepler-613 b" 17.93 2.28 0.12 0.98 864 0 "transit" 2016
"Kepler-614 b" 21.7 2.39 0.11 0.85 571 0 "transit" 2016
"Kepler-615 b" 5.96 1.74 0.08 0.73 330 0 "transit" 2016
"Kepler-616 b" 23.62 2.43 0.09 0.98 1019 0 "transit" 2016
"Kepler-616 c" 7.81 3.4 0.39 0.98 1019 0 "transit" 2016
"Kepler-617 b" 2.23 1.32 0.02 0.51 150 0 "transit" 2016
"Kepler-618 b" 3.33 2.6 0.05 1.05 1115 0 "transit" 2016
"Kepler-619 b" 6.19 3.16 0.06 1.09 1111 0 "transit" 2016
"Kepler-619 c" 5.4 1.69 0.02 1.09 1111 0 "transit" 2016
"Kepler-620 b" 7.19 3.32 0.11 1.15 1241 0 "transit" 2016
"Kepler-621 b" 18.31 2.3 0.03 0.72 389 0 "transit" 2016
"Kepler-622 b" 13.26 2.13 0.1 0.64 259 0 "transit" 2016
"Kepler-623 b" 5.34 3.01 0.08 0.9 811 0 "transit" 2016
"Kepler-624 b" 18.71 2.31 0.12 1.1 731 0 "transit" 2016
"Kepler-625 b" 10.17 1.99 0.08 1.04 502 0 "transit" 2016
"Kepler-625 c" 1.03 1.05 0.05 1.04 502 0 "transit" 2016
"Kepler-626 b" 17.93 2.28 0.12 1.01 690 0 "transit" 2016
"Kepler-627 b" 10.31 3.73 0.25 1.3 1143 0 "transit" 2016
"Kepler-628 b" 129.99 8.39 0.12 1 579 0 "transit" 2016
"Kepler-629 b" 2.58 1.38 0.07 0.93 383 0 "transit" 2016
"Kepler-630 b" 6.33 3.18 0.58 1.02 657 0 "transit" 2016
"Kepler-631 b" 4.74 2.9 0.14 1.24 843 0 "transit" 2016
"Kepler-632 b" 15.43 2.21 0.19 0.91 349 0 "transit" 2016
"Kepler-633 b" 4.65 1.62 0.08 1.02 634 0 "transit" 2016
"Kepler-634 b" 8.29 1.89 0.06 1.03 757 0 "transit" 2016
"Kepler-635 b" 3.52 2.64 0.18 1.33 826 0 "transit" 2016
"Kepler-636 b" 17.49 4.45 0.12 0.85 341 0 "transit" 2016
"Kepler-637 b" 21.29 4.75 0.19 1.64 1575 0 "transit" 2016
"Kepler-638 b" 7.21 1.83 0.06 0.88 426 0 "transit" 2016
"Kepler-639 b" 21.25 2.37 0.1 1.14 680 0 "transit" 2016
"Kepler-640 b" 3.15 2.55 0.16 1.01 538 0 "transit" 2016
"Kepler-641 b" 7.56 1.85 0.09 1.02 673 0 "transit" 2016
"Kepler-642 b" 4.74 2.9 0.06 1.4 1022 0 "transit" 2016
"Kepler-643 b" 297.6 10.15 0.13 1 1029 0 "transit" 2016
"Kepler-644 b" 6.12 3.15 0.05 1.49 1413 0 "transit" 2016
"Kepler-645 b" 12.42 2.09 0.04 1.13 901 0 "transit" 2016
"Kepler-646 b" 10.17 1.99 0.12 0.93 513 0 "transit" 2016
"Kepler-647 b" 1.45 1.16 0.13 1.03 789 0 "transit" 2016
"Kepler-648 b" 6.54 3.21 0.13 1.05 665 0 "transit" 2016
"Kepler-649 b" 17.18 2.26 0.19 0.97 525 0 "transit" 2016
"Kepler-650 b" 5.04 2.96 0.04 1.08 805 0 "transit" 2016
"Kepler-651 b" 20.8 2.36 0.15 0.92 537 0 "transit" 2016
"Kepler-652 b" 26.25 2.49 0.05 0.97 423 0 "transit" 2016
"Kepler-653 b" 9.29 1.95 0.12 1.02 593 0 "transit" 2016
"Kepler-653 c" 0.39 0.78 0.02 1.02 593 0 "transit" 2016
"Kepler-654 b" 11.88 2.07 0.11 1.04 661 0 "transit" 2016
"Kepler-655 b" 3.82 2.71 0.26 1.15 783 0 "transit" 2016
"Kepler-656 b" 5.92 3.11 0.02 0.86 867 0 "transit" 2016
"Kepler-657 b" 8.62 3.52 0.17 1.01 1244 0 "transit" 2016
"Kepler-658 b" 4.65 1.62 0.02 0.63 341 0 "transit" 2016
"Kepler-659 b" 26.81 2.5 0.12 0.79 688 0 "transit" 2016
"Kepler-660 b" 3.19 2.56 0.08 0.75 564 0 "transit" 2016
"Kepler-661 b" 5.66 3.07 0.06 0.7 558 0 "transit" 2016
"Kepler-662 b" 14.46 2.17 0.14 0.79 641 0 "transit" 2016
"Kepler-663 b" 3.33 2.6 0.05 0.86 1030 0 "transit" 2016
"Kepler-664 b" 3.57 2.65 0.04 1.01 1386 0 "transit" 2016
"Kepler-665 b" 3.33 2.6 0.11 0.79 651 0 "transit" 2016
"Kepler-666 b" 22.16 2.4 0.05 1.03 1330 0 "transit" 2016
"Kepler-667 b" 20.99 4.73 0.23 0.91 907 0 "transit" 2016
"Kepler-668 b" 3.77 2.7 0.08 0.87 877 0 "transit" 2016
"Kepler-669 b" 22.36 4.83 0.05 1.15 1778 0 "transit" 2016
"Kepler-671 b" 3.72 2.69 0.05 0.97 1139 0 "transit" 2016
"Kepler-672 b" 26.81 2.5 0.22 0.95 1011 0 "transit" 2016
"Kepler-673 b" 55.96 6.53 0.05 0.88 978 0 "transit" 2016
"Kepler-674 b" 5.4 1.69 0.03 0.6 302 0 "transit" 2016
"Kepler-675 b" 24.12 2.44 0.03 0.79 651 0 "transit" 2016
"Kepler-676 b" 5.46 3.04 0.08 0.51 243 0 "transit" 2016
"Kepler-677 b" 30.87 5.38 0.07 1 1180 0 "transit" 2016
"Kepler-678 b" 26.99 5.14 0.07 0.94 875 0 "transit" 2016
"Kepler-679 b" 5.34 3.01 0.1 0.87 968 0 "transit" 2016
"Kepler-680 b" 23.12 2.42 0.05 1.08 1342 0 "transit" 2016
"Kepler-681 b" 5.72 3.08 0.16 0.8 666 0 "transit" 2016
"Kepler-682 b" 82.66 7.37 0.1 0.92 951 0 "transit" 2016
"Kepler-683 b" 9.72 1.97 0.04 0.96 976 0 "transit" 2016
"Kepler-684 b" 7.49 3.36 0.07 0.89 1066 0 "transit" 2016
"Kepler-685 b" 379.23 10.57 0.03 1.11 1145 0 "transit" 2016
"Kepler-687 b" 8.62 3.52 0.13 0.77 628 0 "transit" 2016
"Kepler-688 b" 243.48 9.76 0.05 0.98 1247 0 "transit" 2016
